costs
0,58786
1,58957
2,59893
3,59740
4,58939
5,58876
6,59479
7,59632
8,58993
9,58795
10,58786
11,59308
12,58993
13,58885
14,59425
15,58885
16,59380
17,59344
18,59452
19,58984
20,59623
21,59560
22,59029
23,58552
24,58615
25,59020
26,58777
27,58966
28,58273
29,59578
30,58696
31,59209
32,58408
33,59272
34,59254
35,58975
36,59290
37,59272
38,59272
39,58597
40,58381
41,58912
42,59029
43,58948
44,58543
45,59497
46,58885
47,59902
48,58831
49,59281
50,59146
51,59488
52,58615
53,59209
54,58939
55,58921
56,59821
57,59227
58,58741
59,59218
60,59380
61,58705
62,58948
63,59371
64,59416
65,59695
66,58651
67,58813
68,58768
69,58885
70,59155
71,59533
72,59299
73,58993
74,59830
75,59002
76,58363
77,59317
78,58201
79,58687
80,58669
81,58633
82,59704
83,59029
84,58309
85,58237
86,58669
87,59290
88,58291
89,58903
90,58921
91,59200
92,58822
93,58552
94,58615
95,58399
96,59371
97,58813
98,59083
99,58822
