costs
0,62629
1,62161
2,62629
3,62989
4,62287
5,62071
6,62008
7,62728
8,62350
9,62179
10,62368
11,62332
12,62629
13,62935
14,62611
15,62467
16,62449
17,62755
18,62665
19,62593
20,62512
21,62395
22,62296
23,62413
24,62728
25,62395
26,62179
27,62557
28,62368
29,62503
30,62476
31,62179
32,62782
33,62836
34,62233
35,62431
36,62566
37,62953
38,62377
39,62593
40,62413
41,62377
42,62251
43,62053
44,62791
45,62296
46,62521
47,62773
48,62440
49,62647
50,62710
51,62377
52,62368
53,62377
54,62755
55,62953
56,62233
57,62377
58,62521
59,62269
60,62242
61,63115
62,62323
63,62503
64,63016
65,62989
66,62107
67,62233
68,61999
69,62809
70,62773
71,62404
72,62503
73,62026
74,62125
75,62467
76,62647
77,62368
78,62251
79,62665
80,63025
81,62701
82,62674
83,62629
84,62107
85,62566
86,62404
87,62359
88,62053
89,62458
90,62206
91,62404
92,62485
93,62989
94,62377
95,62377
96,62899
97,62899
98,62602
99,62728
