type,id,x,y,connected_bat
house,43,48,4,64
house,20,47,6,64
house,78,50,3,64
house,64,45,1,64
house,58,47,16,15
house,143,37,6,101
house,84,43,14,15
house,126,34,8,71
house,13,33,7,101
house,55,30,4,101
house,145,39,14,15
house,12,33,0,101
house,48,30,2,101
house,82,32,9,71
house,109,28,3,101
house,101,33,11,71
house,134,29,7,101
house,40,27,3,101
house,72,45,24,15
house,100,39,19,15
house,124,38,18,15
house,80,25,5,101
house,37,30,12,71
house,66,44,27,93
house,114,38,21,15
house,21,38,22,15
house,121,31,15,71
house,23,23,1,101
house,6,19,4,12
house,120,20,3,12
house,129,38,24,15
house,39,37,23,15
house,60,30,16,71
house,125,27,13,71
house,137,19,3,12
house,71,31,18,71
house,112,28,15,71
house,41,23,10,147
house,32,22,10,147
house,30,50,35,93
house,108,44,33,93
house,46,43,32,93
house,52,15,4,12
house,127,16,3,12
house,118,21,11,147
house,15,37,28,15
house,144,33,24,106
house,10,20,11,147
house,113,46,38,93
house,136,42,34,93
house,142,22,14,147
house,22,47,40,2
house,86,29,22,106
house,11,19,12,147
house,28,12,5,12
house,45,11,4,12
house,102,24,18,147
house,44,20,14,147
house,5,17,11,147
house,50,41,36,93
house,130,30,25,106
house,18,28,23,106
house,19,27,22,106
house,147,22,17,147
house,69,46,42,2
house,85,43,39,93
house,117,39,35,93
house,2,49,44,2
house,76,18,15,147
house,54,8,3,12
house,123,42,40,93
house,93,37,35,93
house,1,24,22,106
house,7,8,6,119
house,74,40,39,93
house,56,11,10,119
house,138,24,24,106
house,97,30,31,106
house,106,29,30,106
house,148,26,27,106
house,133,4,5,119
house,51,4,3,119
house,67,48,50,2
house,98,47,50,2
house,131,50,49,2
house,99,39,43,29
house,33,26,30,106
house,73,5,9,119
house,110,3,7,119
house,140,4,0,119
house,103,42,47,2
house,135,36,41,29
house,132,24,30,106
house,87,21,27,106
house,75,3,9,119
house,16,2,8,119
house,25,30,37,115
house,38,21,29,83
house,68,5,13,119
house,49,28,37,115
house,53,37,47,29
house,29,31,41,29
house,83,18,28,83
house,35,5,15,119
house,70,2,12,119
house,115,26,37,115
house,139,24,36,115
house,0,34,47,29
house,128,20,34,83
house,141,19,33,83
house,104,18,32,83
house,42,13,27,149
house,122,9,23,149
house,81,25,40,115
house,88,18,33,83
house,77,13,28,149
house,107,34,50,29
house,14,21,37,115
house,63,0,16,119
house,149,10,27,149
house,59,1,18,119
house,111,7,25,149
house,3,19,38,83
house,24,18,37,83
house,61,21,42,65
house,92,19,40,83
house,9,16,38,83
house,91,21,44,65
house,119,1,24,149
house,4,22,46,65
house,17,23,48,65
house,90,16,41,65
house,146,21,48,65
house,89,11,38,89
house,8,9,37,89
house,36,21,50,65
house,34,15,44,65
house,96,10,39,89
house,26,4,33,89
house,116,15,46,47
house,27,16,48,47
house,105,5,37,89
house,57,4,38,89
house,95,0,34,89
house,79,15,50,47
house,65,9,44,47
house,94,10,47,47
house,31,9,48,47
house,62,9,50,47
house,47,2,50,47
battery,149,9,26,149
battery,89,6,37,89
battery,83,19,34,83
battery,106,27,26,106
battery,47,11,48,47
battery,119,4,9,119
battery,147,21,13,147
battery,115,26,37,115
battery,65,20,45,65
battery,12,15,4,12
battery,71,31,13,71
battery,15,40,20,15
battery,93,43,35,93
battery,29,35,45,29
battery,101,30,4,101
battery,2,47,46,2
battery,64,48,4,64
