Value
57238
57544
57634
57076
57004
57472
57148
57292
57454
57346
57382
57454
57526
57418
57076
57544
57328
57418
57130
56986
57454
57634
57598
57040
57130
57580
57454
57076
57274
57292
57346
57274
57400
57418
57004
57076
57058
57562
57544
57130
57508
57166
57562
57436
57670
57256
57436
57184
57148
57652
57022
57562
57580
57184
57616
57418
57670
57598
57670
57256
57148
57454
57184
57580
57526
57220
57130
57220
57238
57652
57058
57058
57130
57094
57328
57544
57454
57364
57184
57292
57148
57130
57094
57562
57256
57076
57418
57148
57292
57580
57616
57184
57148
57310
57148
57454
57562
56986
57310
57022
57346
57616
57256
57472
57202
57472
57454
57292
57418
57166
57166
57328
57526
57544
57220
57526
57202
57634
57472
57418
57490
57562
57166
57292
57364
57346
57580
57454
57562
57472
57256
57148
57076
57220
57490
57166
57490
57544
57184
57112
57472
57184
57184
57652
57256
57328
57148
57670
57364
57076
56734
57526
57022
57202
57670
56968
57328
57166
57436
56950
57418
57004
56986
57364
57634
57004
57490
56950
57580
57238
57274
57652
57346
57058
57598
57202
57382
57130
57616
57310
57202
57094
57112
57040
57598
57058
57166
57130
57526
57130
57112
57382
57040
57220
57472
56932
57202
57112
57490
57094
57418
57310
57526
57148
57202
57508
57166
57112
57544
57418
57580
57526
57508
56968
57670
57544
57274
57094
56968
57274
56932
57490
57634
57328
57490
57400
57382
57382
57472
57040
57544
57616
57472
57058
57184
57508
57454
57472
57238
57472
57094
57382
57220
57526
57130
57436
57130
57058
57292
57148
57508
56932
57436
57166
57202
57238
57310
57058
57382
57364
56986
57292
56986
57490
57112
57274
57130
57274
57652
57472
57652
57148
57130
57382
57472
57472
57166
57130
57382
57508
57598
57490
57022
57328
57472
57022
57526
57364
57166
57562
57328
57220
57040
57184
57256
57598
57400
57544
57166
57454
57346
57004
57580
57346
57436
57004
57526
57454
57040
57526
56986
57328
57382
57310
57094
57418
57454
57472
57094
56986
57562
57112
57472
57148
56914
57220
57346
57130
57058
57400
57634
57472
57634
57166
57598
57418
57256
57202
57472
57454
57382
57040
57580
57508
57220
57580
57112
57292
57508
57436
57436
57292
57238
57436
57310
57472
57076
57166
57166
57328
57148
57040
57274
57364
57382
57328
57112
57562
57418
57490
57310
57580
57022
57112
57292
57256
57328
57580
57004
57166
57148
57472
57364
57526
57112
57346
57310
57364
57130
57634
57418
56914
57040
56968
57094
57346
56968
57526
57220
57634
57580
57310
57490
57112
57436
57166
57454
57328
57112
57562
57436
57562
57454
57238
57652
57418
57580
57148
57166
57616
57400
57400
57490
57274
57310
57292
57094
57418
57346
57454
57652
57148
57472
57634
57526
57616
57112
57202
57328
57274
56986
57076
57472
57508
57472
57454
57238
57130
57220
57004
57472
57328
57112
57490
57310
57004
57472
57040
57562
57598
57490
57364
57238
57220
57022
57076
57292
57472
57652
57490
57454
57382
57562
57328
57238
57310
57382
57274
57562
57580
57454
57256
57490
57472
57436
57274
57220
57616
57454
57382
56950
57202
57670
57382
57508
57472
56914
57274
57652
57616
57238
57022
57490
56932
57382
57076
57418
57616
57346
57130
57076
57400
57220
57040
57562
57436
57418
57094
57328
57490
57076
57454
57382
57634
57526
57094
57454
57328
57166
57544
57130
57184
57454
57616
57094
57112
57598
57418
57220
57256
57346
57508
57580
57346
57166
56986
57670
57544
57256
57580
57598
57094
57076
57130
57580
57310
57022
57094
57166
57652
57184
56806
57256
56932
57400
57400
57094
57256
57274
57148
57328
57184
57310
57544
57202
57634
57202
57148
57094
57202
57436
57004
57310
57166
57616
57418
57544
57364
57202
57454
57562
57436
57112
57616
57580
57130
57346
57616
57076
57112
57346
57364
57364
57166
57454
57634
57292
57454
57400
57076
57400
57184
57436
57256
57058
57688
57022
57184
56950
57436
57616
57022
57310
57400
57562
57382
57490
57544
57184
57202
57292
57094
57184
57310
57130
57166
57454
57508
56914
57526
57292
57454
57166
57400
57328
57148
57364
57544
57256
57220
57130
57400
57418
57472
57382
57364
57490
57418
57418
57400
57526
57526
57040
57202
57202
57094
57328
56986
57400
57490
57454
57328
57562
57310
57274
56932
57436
57436
57004
57382
57076
57562
57130
57472
57274
57346
57058
57580
57490
57382
57022
57490
57184
57112
57220
57364
57202
57220
57202
57166
57094
57580
57148
57508
57058
57508
57184
57436
56968
57040
57148
57004
57562
57184
57544
56968
57310
57382
57220
57544
57454
57220
57616
57346
57454
57022
57202
57292
57130
57400
57346
56986
57562
57472
57472
57202
57184
57004
56824
57472
57382
57310
57490
57094
57508
57292
57202
57544
57256
57418
57022
57688
57022
57148
57202
57328
57562
57022
57400
57472
57436
56932
57094
57472
57148
57526
57220
57004
57580
57454
57274
57076
57058
57652
57184
57454
57256
57184
57094
57508
57346
57580
57022
57382
57274
57472
57310
57040
57400
57436
57022
57130
57112
57562
57094
57382
57076
57580
57058
57364
57562
57328
57544
57436
57004
57238
57058
57436
57472
57058
57346
57508
57634
57256
57076
57598
57274
57220
57382
57508
57454
57184
57310
57562
57562
57544
57544
57508
57544
57256
57490
56968
57076
57058
57364
57490
57346
57130
57454
57256
57454
57148
57382
57148
57148
57202
57238
57328
57580
57166
56950
