iteration,costs
266,"[266, 61882]"
267,"[267, 60883]"
268,"[268, 63349]"
269,"[269, 60280]"
270,"[270, 61351]"
271,"[271, 61108]"
272,"[272, 61693]"
273,"[273, 61162]"
274,"[274, 63088]"
275,"[275, 62494]"
276,"[276, 60775]"
277,"[277, 63034]"
278,"[278, 60550]"
279,"[279, 61792]"
280,"[280, 62242]"
281,"[281, 61216]"
282,"[282, 60739]"
283,"[283, 61531]"
284,"[284, 65275]"
285,"[285, 62962]"
286,"[286, 60820]"
287,"[287, 61648]"
288,"[288, 60802]"
289,"[289, 60613]"
290,"[290, 60838]"
291,"[291, 63673]"
292,"[292, 61000]"
293,"[293, 63232]"
294,"[294, 63727]"
295,"[295, 61594]"
296,"[296, 60865]"
297,"[297, 60577]"
298,"[298, 63277]"
299,"[299, 61090]"
300,"[300, 61162]"
301,"[301, 62332]"
302,"[302, 61072]"
303,"[303, 61396]"
304,"[304, 61252]"
305,"[305, 60910]"
306,"[306, 60712]"
307,"[307, 60748]"
308,"[308, 63124]"
309,"[309, 60901]"
310,"[310, 62845]"
311,"[311, 61576]"
312,"[312, 60460]"
313,"[313, 60532]"
314,"[314, 61180]"
315,"[315, 62035]"
316,"[316, 60946]"
317,"[317, 60280]"
318,"[318, 60622]"
319,"[319, 60712]"
320,"[320, 60442]"
321,"[321, 63484]"
322,"[322, 61243]"
323,"[323, 60748]"
324,"[324, 61369]"
325,"[325, 60694]"
326,"[326, 60946]"
327,"[327, 60658]"
328,"[328, 61216]"
329,"[329, 60658]"
330,"[330, 62440]"
331,"[331, 61576]"
332,"[332, 60352]"
333,"[333, 60478]"
334,"[334, 61108]"
335,"[335, 61531]"
336,"[336, 60622]"
337,"[337, 62422]"
338,"[338, 65050]"
339,"[339, 62062]"
340,"[340, 61000]"
341,"[341, 62161]"
342,"[342, 61126]"
343,"[343, 62647]"
344,"[344, 64753]"
345,"[345, 61333]"
346,"[346, 61036]"
347,"[347, 60784]"
348,"[348, 61162]"
349,"[349, 61954]"
350,"[350, 60370]"
351,"[351, 61864]"
352,"[352, 60424]"
353,"[353, 61108]"
354,"[354, 61036]"
355,"[355, 62206]"
356,"[356, 60874]"
357,"[357, 60838]"
358,"[358, 60208]"
359,"[359, 60640]"
360,"[360, 61522]"
361,"[361, 62368]"
362,"[362, 60226]"
363,"[363, 63394]"
364,"[364, 60244]"
365,"[365, 61036]"
366,"[366, 63628]"
367,"[367, 63268]"
368,"[368, 63952]"
369,"[369, 61522]"
370,"[370, 61864]"
371,"[371, 61126]"
372,"[372, 63655]"
373,"[373, 60550]"
374,"[374, 61252]"
375,"[375, 60532]"
376,"[376, 61135]"
377,"[377, 61144]"
378,"[378, 61252]"
379,"[379, 63349]"
380,"[380, 61162]"
381,"[381, 61162]"
382,"[382, 62764]"
383,"[383, 61756]"
384,"[384, 62467]"
385,"[385, 60955]"
386,"[386, 60820]"
387,"[387, 60802]"
388,"[388, 61072]"
389,"[389, 61180]"
390,"[390, 61675]"
391,"[391, 60748]"
392,"[392, 61468]"
393,"[393, 62044]"
394,"[394, 61054]"
395,"[395, 62413]"
396,"[396, 63331]"
397,"[397, 61576]"
398,"[398, 60928]"
399,"[399, 61900]"
400,"[400, 62854]"
401,"[401, 60406]"
402,"[402, 60604]"
403,"[403, 61189]"
404,"[404, 61990]"
405,"[405, 61864]"
406,"[406, 60649]"
407,"[407, 60658]"
408,"[408, 61216]"
409,"[409, 62665]"
410,"[410, 62089]"
411,"[411, 61234]"
412,"[412, 60910]"
413,"[413, 61648]"
414,"[414, 62422]"
415,"[415, 61270]"
416,"[416, 60694]"
417,"[417, 61036]"
418,"[418, 62377]"
419,"[419, 65482]"
420,"[420, 60550]"
421,"[421, 60964]"
422,"[422, 60838]"
423,"[423, 60649]"
424,"[424, 61018]"
425,"[425, 62674]"
426,"[426, 61882]"
427,"[427, 62521]"
428,"[428, 61702]"
429,"[429, 60820]"
430,"[430, 62863]"
431,"[431, 60370]"
432,"[432, 61036]"
433,"[433, 64393]"
434,"[434, 61918]"
435,"[435, 61360]"
436,"[436, 64024]"
437,"[437, 60496]"
438,"[438, 60982]"
439,"[439, 62224]"
440,"[440, 60550]"
441,"[441, 61603]"
442,"[442, 62269]"
443,"[443, 63322]"
444,"[444, 61576]"
