iteration,costs
266,"[266, 63151]"
267,"[267, 63151]"
268,"[268, 63151]"
269,"[269, 63151]"
270,"[270, 63151]"
271,"[271, 63151]"
272,"[272, 63151]"
273,"[273, 63151]"
274,"[274, 63151]"
275,"[275, 63151]"
276,"[276, 63151]"
277,"[277, 63151]"
278,"[278, 63151]"
279,"[279, 63151]"
280,"[280, 63151]"
281,"[281, 63151]"
282,"[282, 63151]"
283,"[283, 63151]"
284,"[284, 63151]"
285,"[285, 63151]"
286,"[286, 63151]"
287,"[287, 63151]"
288,"[288, 63151]"
289,"[289, 63151]"
290,"[290, 63151]"
291,"[291, 63151]"
292,"[292, 63151]"
293,"[293, 63151]"
294,"[294, 63151]"
295,"[295, 63151]"
296,"[296, 63151]"
297,"[297, 63151]"
298,"[298, 63151]"
299,"[299, 63151]"
300,"[300, 63151]"
301,"[301, 63151]"
302,"[302, 63151]"
303,"[303, 63151]"
304,"[304, 63151]"
305,"[305, 63151]"
306,"[306, 63151]"
307,"[307, 63151]"
308,"[308, 63151]"
309,"[309, 63151]"
310,"[310, 63151]"
311,"[311, 63151]"
312,"[312, 63151]"
313,"[313, 63151]"
314,"[314, 63151]"
315,"[315, 63151]"
316,"[316, 63151]"
317,"[317, 63151]"
318,"[318, 63151]"
319,"[319, 63151]"
320,"[320, 63151]"
321,"[321, 63151]"
322,"[322, 63151]"
323,"[323, 63151]"
324,"[324, 63151]"
325,"[325, 63151]"
326,"[326, 63151]"
327,"[327, 63151]"
328,"[328, 63151]"
329,"[329, 63151]"
330,"[330, 63151]"
331,"[331, 63151]"
332,"[332, 63151]"
333,"[333, 63151]"
334,"[334, 63151]"
335,"[335, 63151]"
336,"[336, 63151]"
337,"[337, 63151]"
338,"[338, 63151]"
339,"[339, 63151]"
340,"[340, 63151]"
341,"[341, 63151]"
342,"[342, 63151]"
343,"[343, 63151]"
344,"[344, 63151]"
345,"[345, 63151]"
346,"[346, 63151]"
347,"[347, 63151]"
348,"[348, 63151]"
349,"[349, 63151]"
350,"[350, 63151]"
351,"[351, 63151]"
352,"[352, 63151]"
353,"[353, 63151]"
354,"[354, 63151]"
355,"[355, 63151]"
356,"[356, 63151]"
357,"[357, 63151]"
358,"[358, 63151]"
359,"[359, 63151]"
360,"[360, 63151]"
361,"[361, 63151]"
362,"[362, 63151]"
363,"[363, 63151]"
364,"[364, 63151]"
365,"[365, 63151]"
366,"[366, 63151]"
367,"[367, 63151]"
368,"[368, 63151]"
369,"[369, 63151]"
370,"[370, 63151]"
371,"[371, 63151]"
372,"[372, 63151]"
373,"[373, 63151]"
374,"[374, 63151]"
375,"[375, 63151]"
376,"[376, 63151]"
377,"[377, 63151]"
378,"[378, 63151]"
379,"[379, 63151]"
380,"[380, 63151]"
381,"[381, 63151]"
382,"[382, 63151]"
383,"[383, 63151]"
384,"[384, 63151]"
385,"[385, 63151]"
386,"[386, 63151]"
387,"[387, 63151]"
388,"[388, 63151]"
389,"[389, 63151]"
390,"[390, 63151]"
391,"[391, 63151]"
392,"[392, 63151]"
393,"[393, 63151]"
394,"[394, 63151]"
395,"[395, 63151]"
396,"[396, 63151]"
397,"[397, 63151]"
398,"[398, 63151]"
399,"[399, 63151]"
400,"[400, 63151]"
401,"[401, 63151]"
402,"[402, 63151]"
403,"[403, 63151]"
404,"[404, 63151]"
405,"[405, 63151]"
406,"[406, 63151]"
407,"[407, 63151]"
408,"[408, 63151]"
409,"[409, 63151]"
410,"[410, 63151]"
411,"[411, 63151]"
412,"[412, 63151]"
413,"[413, 63151]"
414,"[414, 63151]"
415,"[415, 63151]"
416,"[416, 63151]"
417,"[417, 63151]"
418,"[418, 63151]"
419,"[419, 63151]"
420,"[420, 63151]"
421,"[421, 63151]"
422,"[422, 63151]"
423,"[423, 63151]"
424,"[424, 63151]"
425,"[425, 63151]"
426,"[426, 63151]"
427,"[427, 63151]"
428,"[428, 63151]"
429,"[429, 63151]"
430,"[430, 63151]"
431,"[431, 63151]"
432,"[432, 63151]"
433,"[433, 63151]"
434,"[434, 63151]"
435,"[435, 63151]"
436,"[436, 63151]"
437,"[437, 63151]"
438,"[438, 63151]"
439,"[439, 63151]"
440,"[440, 63151]"
441,"[441, 63151]"
442,"[442, 63151]"
443,"[443, 63151]"
444,"[444, 63151]"
445,"[445, 63151]"
446,"[446, 63151]"
447,"[447, 63151]"
448,"[448, 63151]"
449,"[449, 63151]"
450,"[450, 63151]"
451,"[451, 63151]"
452,"[452, 63151]"
453,"[453, 63151]"
454,"[454, 63151]"
455,"[455, 63151]"
456,"[456, 63151]"
457,"[457, 63151]"
458,"[458, 63151]"
459,"[459, 63151]"
460,"[460, 63151]"
461,"[461, 63151]"
462,"[462, 63151]"
463,"[463, 63151]"
464,"[464, 63151]"
465,"[465, 63151]"
466,"[466, 63151]"
467,"[467, 63151]"
468,"[468, 63151]"
469,"[469, 63151]"
470,"[470, 63151]"
471,"[471, 63151]"
472,"[472, 63151]"
473,"[473, 63151]"
474,"[474, 63151]"
475,"[475, 63151]"
476,"[476, 63151]"
477,"[477, 63151]"
478,"[478, 63151]"
479,"[479, 63151]"
480,"[480, 63151]"
481,"[481, 63151]"
482,"[482, 63151]"
483,"[483, 63151]"
484,"[484, 63151]"
485,"[485, 63151]"
486,"[486, 63151]"
487,"[487, 63151]"
488,"[488, 63151]"
489,"[489, 63151]"
490,"[490, 63151]"
491,"[491, 63151]"
492,"[492, 63151]"
493,"[493, 63151]"
494,"[494, 63151]"
495,"[495, 63151]"
496,"[496, 63151]"
497,"[497, 63151]"
498,"[498, 63151]"
499,"[499, 63151]"
500,"[500, 63151]"
501,"[501, 63151]"
502,"[502, 63151]"
503,"[503, 63151]"
504,"[504, 63151]"
505,"[505, 63151]"
506,"[506, 63151]"
507,"[507, 63151]"
508,"[508, 63151]"
509,"[509, 63151]"
510,"[510, 63151]"
511,"[511, 63151]"
512,"[512, 63151]"
513,"[513, 63151]"
514,"[514, 63151]"
515,"[515, 63151]"
516,"[516, 63151]"
517,"[517, 63151]"
518,"[518, 63151]"
519,"[519, 63151]"
520,"[520, 63151]"
521,"[521, 63151]"
522,"[522, 63151]"
523,"[523, 63151]"
524,"[524, 63151]"
525,"[525, 63151]"
526,"[526, 63151]"
527,"[527, 63151]"
528,"[528, 63151]"
529,"[529, 63151]"
530,"[530, 63151]"
531,"[531, 63151]"
532,"[532, 63151]"
533,"[533, 63151]"
534,"[534, 63151]"
535,"[535, 63151]"
536,"[536, 63151]"
537,"[537, 63151]"
538,"[538, 63151]"
539,"[539, 63151]"
540,"[540, 63151]"
541,"[541, 63151]"
542,"[542, 63151]"
543,"[543, 63151]"
544,"[544, 63151]"
545,"[545, 63151]"
546,"[546, 63151]"
547,"[547, 63151]"
548,"[548, 63151]"
549,"[549, 63151]"
550,"[550, 63151]"
551,"[551, 63151]"
552,"[552, 63151]"
553,"[553, 63151]"
554,"[554, 63151]"
555,"[555, 63151]"
556,"[556, 63151]"
557,"[557, 63151]"
558,"[558, 63151]"
559,"[559, 63151]"
560,"[560, 63151]"
561,"[561, 63151]"
562,"[562, 63151]"
563,"[563, 63151]"
564,"[564, 63151]"
565,"[565, 63151]"
566,"[566, 63151]"
567,"[567, 63151]"
568,"[568, 63151]"
569,"[569, 63151]"
570,"[570, 63151]"
571,"[571, 63151]"
572,"[572, 63151]"
573,"[573, 63151]"
574,"[574, 63151]"
575,"[575, 63151]"
576,"[576, 63151]"
577,"[577, 63151]"
578,"[578, 63151]"
579,"[579, 63151]"
580,"[580, 63151]"
581,"[581, 63151]"
582,"[582, 63151]"
583,"[583, 63151]"
584,"[584, 63151]"
585,"[585, 63151]"
586,"[586, 63151]"
587,"[587, 63151]"
588,"[588, 63151]"
589,"[589, 63151]"
590,"[590, 63151]"
591,"[591, 63151]"
592,"[592, 63151]"
593,"[593, 63151]"
594,"[594, 63151]"
595,"[595, 63151]"
596,"[596, 63151]"
597,"[597, 63151]"
598,"[598, 63151]"
599,"[599, 63151]"
600,"[600, 63151]"
601,"[601, 63151]"
602,"[602, 63151]"
603,"[603, 63151]"
604,"[604, 63151]"
605,"[605, 63151]"
606,"[606, 63151]"
607,"[607, 63151]"
608,"[608, 63151]"
609,"[609, 63151]"
610,"[610, 63151]"
611,"[611, 63151]"
612,"[612, 63151]"
613,"[613, 63151]"
614,"[614, 63151]"
615,"[615, 63151]"
616,"[616, 63151]"
617,"[617, 63151]"
618,"[618, 63151]"
619,"[619, 63151]"
620,"[620, 63151]"
621,"[621, 63151]"
622,"[622, 63151]"
623,"[623, 63151]"
624,"[624, 63151]"
625,"[625, 63151]"
626,"[626, 63151]"
627,"[627, 63151]"
628,"[628, 63151]"
629,"[629, 63151]"
630,"[630, 63151]"
631,"[631, 63151]"
632,"[632, 63151]"
633,"[633, 63151]"
634,"[634, 63151]"
635,"[635, 63151]"
636,"[636, 63151]"
637,"[637, 63151]"
638,"[638, 63151]"
639,"[639, 63151]"
640,"[640, 63151]"
641,"[641, 63151]"
642,"[642, 63151]"
643,"[643, 63151]"
644,"[644, 63151]"
645,"[645, 63151]"
646,"[646, 63151]"
647,"[647, 63151]"
648,"[648, 63151]"
649,"[649, 63151]"
650,"[650, 63151]"
651,"[651, 63151]"
652,"[652, 63151]"
653,"[653, 63151]"
654,"[654, 63151]"
655,"[655, 63151]"
656,"[656, 63151]"
657,"[657, 63151]"
658,"[658, 63151]"
659,"[659, 63151]"
660,"[660, 63151]"
661,"[661, 63151]"
662,"[662, 63151]"
663,"[663, 63151]"
664,"[664, 63151]"
665,"[665, 63151]"
666,"[666, 63151]"
667,"[667, 63151]"
668,"[668, 63151]"
669,"[669, 63151]"
670,"[670, 63151]"
671,"[671, 63151]"
672,"[672, 63151]"
673,"[673, 63151]"
674,"[674, 63151]"
675,"[675, 63151]"
676,"[676, 63151]"
677,"[677, 63151]"
678,"[678, 63151]"
679,"[679, 63151]"
680,"[680, 63151]"
681,"[681, 63151]"
682,"[682, 63151]"
683,"[683, 63151]"
684,"[684, 63151]"
685,"[685, 63151]"
686,"[686, 63151]"
687,"[687, 63151]"
688,"[688, 63151]"
689,"[689, 63151]"
690,"[690, 63151]"
691,"[691, 63151]"
692,"[692, 63151]"
693,"[693, 63151]"
694,"[694, 63151]"
695,"[695, 63151]"
696,"[696, 63151]"
697,"[697, 63151]"
698,"[698, 63151]"
699,"[699, 63151]"
700,"[700, 63151]"
701,"[701, 63151]"
702,"[702, 63151]"
703,"[703, 63151]"
704,"[704, 63151]"
705,"[705, 63151]"
706,"[706, 63151]"
707,"[707, 63151]"
708,"[708, 63151]"
709,"[709, 63151]"
710,"[710, 63151]"
711,"[711, 63151]"
712,"[712, 63151]"
713,"[713, 63151]"
714,"[714, 63151]"
715,"[715, 63151]"
716,"[716, 63151]"
717,"[717, 63151]"
718,"[718, 63151]"
719,"[719, 63151]"
720,"[720, 63151]"
721,"[721, 63151]"
722,"[722, 63151]"
723,"[723, 63151]"
724,"[724, 63151]"
725,"[725, 63151]"
726,"[726, 63151]"
727,"[727, 63151]"
728,"[728, 63151]"
729,"[729, 63151]"
730,"[730, 63151]"
731,"[731, 63151]"
732,"[732, 63151]"
733,"[733, 63151]"
734,"[734, 63151]"
735,"[735, 63151]"
736,"[736, 63151]"
737,"[737, 63151]"
738,"[738, 63151]"
739,"[739, 63151]"
740,"[740, 63151]"
741,"[741, 63151]"
742,"[742, 63151]"
743,"[743, 63151]"
744,"[744, 63151]"
745,"[745, 63151]"
746,"[746, 63151]"
747,"[747, 63151]"
748,"[748, 63151]"
749,"[749, 63151]"
750,"[750, 63151]"
751,"[751, 63151]"
752,"[752, 63151]"
753,"[753, 63151]"
754,"[754, 63151]"
755,"[755, 63151]"
756,"[756, 63151]"
757,"[757, 63151]"
758,"[758, 63151]"
759,"[759, 63151]"
760,"[760, 63151]"
761,"[761, 63151]"
762,"[762, 63151]"
763,"[763, 63151]"
764,"[764, 63151]"
765,"[765, 63151]"
766,"[766, 63151]"
767,"[767, 63151]"
768,"[768, 63151]"
769,"[769, 63151]"
770,"[770, 63151]"
771,"[771, 63151]"
772,"[772, 63151]"
773,"[773, 63151]"
774,"[774, 63151]"
775,"[775, 63151]"
776,"[776, 63151]"
777,"[777, 63151]"
778,"[778, 63151]"
779,"[779, 63151]"
780,"[780, 63151]"
781,"[781, 63151]"
782,"[782, 63151]"
783,"[783, 63151]"
784,"[784, 63151]"
785,"[785, 63151]"
786,"[786, 63151]"
787,"[787, 63151]"
788,"[788, 63151]"
789,"[789, 63151]"
790,"[790, 63151]"
791,"[791, 63151]"
792,"[792, 63151]"
793,"[793, 63151]"
794,"[794, 63151]"
795,"[795, 63151]"
796,"[796, 63151]"
797,"[797, 63151]"
798,"[798, 63151]"
799,"[799, 63151]"
800,"[800, 63151]"
801,"[801, 63151]"
802,"[802, 63151]"
803,"[803, 63151]"
804,"[804, 63151]"
805,"[805, 63151]"
806,"[806, 63151]"
807,"[807, 63151]"
808,"[808, 63151]"
809,"[809, 63151]"
810,"[810, 63151]"
811,"[811, 63151]"
812,"[812, 63151]"
813,"[813, 63151]"
814,"[814, 63151]"
815,"[815, 63151]"
816,"[816, 63151]"
817,"[817, 63151]"
818,"[818, 63151]"
819,"[819, 63151]"
820,"[820, 63151]"
821,"[821, 63151]"
822,"[822, 63151]"
823,"[823, 63151]"
824,"[824, 63151]"
825,"[825, 63151]"
826,"[826, 63151]"
827,"[827, 63151]"
