costs
0,57058
1,56842
2,57058
3,57166
4,57112
5,56860
6,57094
7,57148
8,57616
9,56923
10,57328
11,57094
12,57112
13,57004
14,56995
15,56716
16,57364
17,57166
18,57247
19,57184
20,57274
21,56986
22,57463
23,57526
24,57310
25,56878
26,57094
27,57319
28,57202
29,57436
30,56878
31,57292
32,57130
33,57310
34,57346
35,56788
36,57472
37,57670
38,57184
39,57265
40,57166
41,57220
42,57310
43,57409
44,57184
45,57418
46,57436
47,57364
48,56806
49,57544
50,57184
51,57751
52,57319
53,57292
54,57004
55,56986
56,57040
57,57382
58,57157
59,57382
60,56806
61,57256
62,57040
63,56770
64,57373
65,57256
66,57346
67,57166
68,57256
69,57418
70,57166
71,57202
72,57418
73,57184
74,57544
75,57148
76,57139
77,56995
78,57130
79,57166
80,57184
81,57022
82,57184
83,57076
84,57193
85,57274
86,57022
87,56743
88,56824
89,57175
90,57148
91,57148
92,57310
93,57328
94,57211
95,57202
96,57328
97,57202
98,57220
99,57148
